"Začiatok vykazovania","Koniec vykazovania","Názov kampane","Doručenie kampane","Nastavenie pričítania",Výsledky,"Výsledky [1-day view all conversions]","Výsledky [1-day click all conversions]","Výsledky [7-day click all conversions]","Result indicator",Dosah,Frekvencia,"Cena za výsledky","Cena za výsledky [1-day view all conversions]","Cena za výsledky [1-day click all conversions]","Cena za výsledky [7-day click all conversions]","Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)",Koniec,Impresie,"CPM (cena za 1000 impresií) (EUR)","Kliknutia na odkaz",shop_clicks,"CPC (cena za kliknutie na odkaz) (EUR)","CTR (miera prekliknutia odkazu)","Kliknutia (všetky)","CTR (všetko)","CPC (all) (EUR)","Pozretia cieľovej stránky","Pozretia cieľovej stránky [1-day view]","Pozretia cieľovej stránky [1-day click]","Pozretia cieľovej stránky [7-day click]","Cena za pozretie cieľovej stránky (EUR)",cost_per_action_type_1d_view_all_conversions:omni_landing_page_view,cost_per_action_type_1d_click_all_conversions:omni_landing_page_view,cost_per_action_type_7d_click_all_conversions:omni_landing_page_view,"Hodnota konverzie nákupov na webe","Hodnota konverzie nákupov na webe [1-day view]","Hodnota konverzie nákupov na webe [1-day click]","Hodnota konverzie nákupov na webe [7-day click]",Nákupy,"Nákupy [1-day view]","Nákupy [1-day click]","Nákupy [7-day click]","Purchases conversion value","Purchases conversion value [1-day view]","Purchases conversion value [1-day click]","Purchases conversion value [7-day click]","Results (initial)","Results (initial) indicator"
2026-07-28,2026-07-28,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-28,2026-07-28,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-28,2026-07-28,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-28,2026-07-28,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-27,2026-07-27,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-27,2026-07-27,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",2,1,1,1,actions:offsite_conversion.fb_pixel_purchase,2821,1.979794,15.67,,31.34,31.34,"Using ad set budget",0,31.34,Prebieha,5585,5.611459,72,,0.435278,1.289167,151,2.703671,0.20755,43,,,,0.728837,,,,86.4,36.51,49.89,49.89,2,1,1,1,86.4,36.51,49.89,49.89,,
2026-07-27,2026-07-27,"Filip | Sales | RMKT",inactive,"7-day click or 1-day engaged-view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-27,2026-07-27,"FilipZ | Sales | TOF",inactive,"Multiple attribution settings",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-27,2026-07-27,"FilipZ | Traffic | LPV",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-27,2026-07-27,"FilipZ | Traffic | Page likes",inactive,"1-day click",,,,,,0,0,,,,,"Using ad set budget",0,0,Prebieha,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-26,2026-07-26,"(H) Promo postu",inactive,"7-day click or 1-day view",,,,,,0,0,,,,,"Using ad set budget",0,0,2026-06-29,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-07-26,2026-07-26,"(H) Konverze",active,"7-day click, 1-day view, or 1-day engaged-view",1,,1,1,actions:offsite_conversion.fb_pixel_purchase,2661,2.027058,29.12,,29.12,29.12,"Using ad set budget",0,29.12,Prebieha,5394,5.398591,65,,0.448,1.205043,123,2.280311,0.236748,46,,,,0.633043,,,,49.89,,49.89,49.89,1,,1,1,49.89,,49.89,49.89,,
